Date1,L_ETR,L_ETR/L_ETL,L_ETR_Z,L_ETL_Z,L_ETR - min,L_ETR - SMA,Date2,L_momentum_signal,LS_momentum_signal,LS_momentum_Z_signal
12/12/2007 0:00,1.083208931,9.815136549,1.191152407,1.013084975,,,12/18/2007,,,
12/13/2007 0:00,1.085258705,9.789089879,1.208073566,1.057851548,,,12/19/2007,,,
12/14/2007 0:00,1.10118621,10.00369676,1.401974693,0.970176257,,,12/20/2007,,,
12/17/2007 0:00,1.11099794,10.18760287,1.513107385,0.859144728,,,12/21/2007,,,
12/18/2007 0:00,1.130106113,10.61112536,1.737437396,0.591750827,,,12/24/2007,,,
12/19/2007 0:00,1.157396587,11.20915213,2.053069675,0.253186572,,,12/26/2007,,,
12/20/2007 0:00,1.16798562,11.62669059,2.148341361,-0.038471473,,,12/27/2007,,,
12/21/2007 0:00,1.161618247,11.74349747,2.034484761,-0.199113137,,,12/28/2007,,,
12/24/2007 0:00,1.155325026,11.81099457,1.927057443,-0.313294563,,,12/31/2007,,,
12/25/2007 0:00,1.155325026,11.81099457,1.899186794,-0.312230424,,,1/2/2008,,,
12/26/2007 0:00,1.148771478,11.79470509,1.795096337,-0.355385168,,,1/3/2008,,,
12/27/2007 0:00,1.13611642,11.68074313,1.622962816,-0.368196756,,,1/4/2008,,,
12/28/2007 0:00,1.122150848,11.37568528,1.440510146,-0.220968543,,,1/7/2008,,,
12/31/2007 0:00,1.117661201,11.08103755,1.374238449,0.015047058,,,1/8/2008,,,
1/1/2008 0:00,1.117661201,11.08103755,1.362343534,0.015001932,,,1/9/2008,,,
1/2/2008 0:00,1.113813211,10.87272405,1.30554242,0.183479046,,,1/10/2008,,,
1/3/2008 0:00,1.101126465,10.49116188,1.145959946,0.452132177,,,1/11/2008,,,
1/4/2008 0:00,1.10045866,10.32590838,1.13028766,0.623435336,,,1/14/2008,,,
1/7/2008 0:00,1.100955261,10.29143769,1.128581717,0.664311976,,,1/15/2008,,,
1/8/2008 0:00,1.103277858,10.36863476,1.148389632,0.600071663,,,1/16/2008,,,
1/9/2008 0:00,1.107290453,10.44447248,1.18774482,0.555908261,,,1/17/2008,,,
