Date,L_ETR,L_ETR/L_ETL,L_ETR_Z,L_ETL_Z,L_ETR - min,L_ETR - SMA,L_momentum_signal,LS_momentum_signal,LS_momentum_Z_signal,returns+1
2008-02-29,1.048617301,9.332869771,0.382487589,1.253302528,,,1.0,1.0,0.7645287316806312,-0.0646
2008-03-03,1.054975544,9.342713757,0.459833655,1.309410919,,,1.0,1.0,0.8069072864406053,0.0345
2008-03-04,1.065120532,9.460631905,0.583741424,1.263082403,,,1.0,1.0,0.7196312124510287,0.0345
2008-03-05,1.067352819,9.396020318,0.609481749,1.369693183,,,1.0,1.0,0.8034409849888472,0.0345
2008-03-06,1.071639641,9.392156152,0.660553839,1.417134278,,,1.0,1.0,0.7559988126368945,0.0345
2008-03-07,1.073200128,9.360856741,0.677665942,1.468734557,,,1.0,1.0,0.7209896312097994,0.0345
2008-03-10,1.080758699,9.409485164,0.769042217,1.481576029,,,1.0,1.0,0.723396952466453,0.0345
2008-03-11,1.075356775,9.080469744,0.699212187,1.866696135,,,1.0,1.0,0.7426045271997367,0.0345
2008-03-12,1.068110173,8.826464011,0.60675543,2.130800515,,,1.0,1.0,0.7690002504861572,0.0345
2008-03-13,1.046628502,8.398829933,0.337109296,2.491680794,,,1.0,1.0,0.7871750781620335,0.0345
2008-03-14,1.031427632,8.069305749,0.14618138,2.788170153,,,1.0,1.0,0.7222348238942717,0.0345
2008-03-17,1.001543294,7.488944002,-0.228803088,3.335400704,,,1.0,1.0,0.5103774320778562,0.0345
2008-03-18,0.982303742,7.298586519,-0.469796089,3.330486274,,,1.0,1.0,0.5750719850237749,0.0345
2008-03-19,0.978750333,7.221619281,-0.513162656,3.333065286,,,1.0,1.0,0.4018351187703007,0.0345
2008-03-20,0.972339207,7.203090602,-0.592380604,3.194481347,,,1.0,1.0,0.3293676819215714,0.0345
2008-03-21,0.972339207,7.203090602,-0.590598278,3.116855914,,,1.0,1.0,0.3293676819215714,0.0345
2008-03-24,0.981368388,7.449695935,-0.474868783,2.746493245,,,1.0,1.0,0.3632952188310602,0.0345
2008-03-25,0.982978408,7.749870452,-0.453218303,2.247068268,,,1.0,1.0,0.4214909211329048,0.0345
2008-03-26,0.983804825,7.856212826,-0.441544386,2.069582683,,,1.0,1.0,0.4694164439648177,0.0345
2008-03-27,0.973757336,7.85417866,-0.567908974,1.931750909,,,1.0,1.0,0.4919278816181021,0.0345
2008-03-28,0.982386407,8.049187455,-0.456595515,1.735513467,,,1.0,1.0,0.4417292838753123,0.0345
2008-03-31,0.982011772,8.022884076,-0.46017064,1.752687846,,,1.0,1.0,0.3803983235119583,0.0345
2008-04-01,1.002070668,8.280071252,-0.20287358,1.612018669,,,1.0,1.0,0.3450110692110358,0.0259
2008-04-02,1.009679344,8.355921795,-0.105017482,1.582530363,,,1.0,1.0,0.3995729968595565,0.0259
2008-04-03,1.015024417,8.444917422,-0.036209441,1.51272299,,,1.0,1.0,0.3889536921633387,0.0259
2008-04-04,1.012899502,8.405561687,-0.063455948,1.530134338,,,1.0,1.0,0.4218950841777427,0.0259
2008-04-07,1.001177976,8.143681011,-0.214351306,1.738137953,,,1.0,1.0,0.4621803765578414,0.0259
2008-04-08,0.989097045,7.881635833,-0.369792864,1.95088034,,,1.0,1.0,0.4359606981468133,0.0259
2008-04-09,0.987686596,7.771496044,-0.387138673,2.072041713,,,1.0,1.0,0.5124452878163341,0.0259
2008-04-10,0.989798271,7.782783393,-0.358861669,2.056830106,,,1.0,1.0,0.5064026923783359,0.0259
2008-04-11,0.993795876,7.810898078,-0.306145917,2.039230962,,,1.0,1.0,0.4807844677919103,0.0259
2008-04-14,1.000700301,7.985326921,-0.215666759,1.85188756,,,1.0,1.0,0.5005675340441512,0.0259
2008-04-15,1.004952601,8.111104293,-0.159781238,1.712384897,,,1.0,1.0,0.5339892819773504,0.0259
2008-04-16,1.008916197,8.248349041,-0.107676345,1.562073653,,,1.0,1.0,0.5682779817436643,0.0259
2008-04-17,1.010886685,8.286269693,-0.081662319,1.523305994,,,1.0,1.0,0.5568483586630806,0.0259
